,Stock A,Stock B,Johansen Pairs,Gatev Pairs,Count
0,adClose_DBC,adClose_DLG,x,,1
1,adClose_DBC,adClose_HHS,x,,1
2,adClose_DBC,adClose_HNG,x,,1
3,adClose_DBC,adClose_TNG,x,,1
4,adClose_DBC,adClose_TSC,x,,1
5,adClose_DBC,adClose_VNM,x,,1
6,adClose_DLG,adClose_HHS,x,,1
7,adClose_DLG,adClose_SBT,,x,1
8,adClose_DLG,adClose_VNM,x,,1
9,adClose_HHS,adClose_IDI,,x,1
10,adClose_HHS,adClose_TNG,,x,1
11,adClose_HNG,adClose_SBT,,x,1
12,adClose_HNG,adClose_TSC,x,,1
13,adClose_HNG,adClose_VNM,,x,1
14,adClose_IDI,adClose_SBT,,x,1
15,adClose_IDI,adClose_TNG,,x,1
16,adClose_IDI,adClose_VNM,,x,1
17,adClose_SBT,adClose_TNG,,x,1
18,adClose_SBT,adClose_VNM,,x,1
19,adClose_TSC,adClose_VNM,x,,1
