,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_CMG,adClose_ELC,,,x,,1
1,adClose_CMG,adClose_ITD,,,,x,1
2,adClose_CMG,adClose_PSD,,,x,x,2
3,adClose_CMG,adClose_SGT,,,x,,1
4,adClose_CMG,adClose_ST8,,,x,x,2
5,adClose_CMG,adClose_TYA,,,,x,1
6,adClose_ELC,adClose_FPT,,x,,,1
7,adClose_ELC,adClose_ITD,,x,x,x,3
8,adClose_ELC,adClose_PSD,,x,x,x,3
9,adClose_ELC,adClose_SGT,,x,,x,2
10,adClose_ELC,adClose_ST8,,x,x,x,3
11,adClose_ELC,adClose_TYA,,x,,x,2
12,adClose_FPT,adClose_ITD,x,,,,1
13,adClose_FPT,adClose_PSD,,,x,x,2
14,adClose_FPT,adClose_SAM,x,,,,1
15,adClose_FPT,adClose_SGT,x,,x,x,3
16,adClose_FPT,adClose_ST8,,,x,,1
17,adClose_FPT,adClose_TYA,x,,,,1
18,adClose_ITD,adClose_PSD,,x,x,x,3
19,adClose_ITD,adClose_SGT,,x,x,x,3
20,adClose_ITD,adClose_ST8,,,x,x,2
21,adClose_ITD,adClose_TYA,x,x,,x,3
22,adClose_PSD,adClose_SAM,x,x,,x,3
23,adClose_PSD,adClose_SGT,x,x,x,x,4
24,adClose_PSD,adClose_SRA,,,,x,1
25,adClose_PSD,adClose_ST8,x,x,x,x,4
26,adClose_PSD,adClose_TYA,,x,,x,2
27,adClose_SAM,adClose_SGT,x,,,,1
28,adClose_SAM,adClose_ST8,x,,,x,2
29,adClose_SGT,adClose_ST8,,,x,x,2
30,adClose_SGT,adClose_TYA,,x,x,x,3
31,adClose_SRA,adClose_ST8,,,x,x,2
32,adClose_ST8,adClose_TYA,,x,,x,2
